Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-977563.6966239555,0.00029429657071803424,7.391614848998443e-05,0.00060533762130171,8.563939858243492e-05
-977230.3983980353,0.00029431002206548127,7.39193356580271e-05,0.0006053642893058853,8.564308191611665e-05
-976897.1001721151,0.00029432355504489707,7.392254214259564e-05,0.0006053911190180194,8.564678757228785e-05
-976563.8019461948,0.00029433716967618455,7.392576794790108e-05,0.000605418110474801,8.565051555574415e-05
-976230.5037202747,0.0002943508659796405,7.392901307813534e-05,0.0006054452637139267,8.565426587133594e-05
-975897.2054943545,0.00029436464397422315,7.39322775375655e-05,0.0006054725787709922,8.565803852389738e-05
-975563.9072684343,0.00029437850368048586,7.393556133044136e-05,0.0006055000556839811,8.566183351834779e-05
-975230.6090425141,0.0002943924451179899,7.393886446097036e-05,0.000605527694489765,8.566565085959376e-05
-974897.3108165939,0.00029440646830726605,7.394218693358106e-05,0.0006055554952263126,8.566949055258444e-05
-974564.0125906736,0.00029442057326831746,7.39455287523836e-05,0.0006055834579293802,8.567335260230193e-05
-974230.7143647535,0.0002944347600220976,7.394888992196831e-05,0.0006056115826401488,8.567723701376177e-05
-973897.4161388333,0.00029444902858892155,7.395227044660967e-05,0.000605639869394031,8.568114379200297e-05
-973564.1179129131,0.0002944633789886042,7.395567033072683e-05,0.0006056683182307674,8.568507294208682e-05
-973230.8196869929,0.0002944778112431273,7.395908957863806e-05,0.0006056969291889071,8.56890244691198e-05
-972897.5214610726,0.0002944923253729416,7.396252819508124e-05,0.0006057257023080393,8.569299837822221e-05
-972564.2232351524,0.0002945069213984751,7.396598618429285e-05,0.00060575463762586,8.569699467455236e-05
-972230.9250092322,0.0002945215993419694,7.396946355086792e-05,0.0006057837351829667,8.570101336330779e-05
-971897.6267833121,0.0002945363592244824,7.397296029931383e-05,0.0006058129950176427,8.570505444970224e-05
-971564.3285573919,0.00029455120106690216,7.397647643421443e-05,0.0006058424171704686,8.570911793896297e-05
-971231.0303314717,0.0002945661248903888,7.398001196015374e-05,0.00060587200168137,8.571320383639215e-05
-970897.7321055514,0.0002945811307175432,7.398356688175557e-05,0.0006059017485899158,8.571731214729047e-05
-970564.4338796312,0.0002945962185696319,7.398714120361793e-05,0.0006059316579379357,8.572144287699109e-05
-970231.135653711,0.00029461138846879285,7.399073493047771e-05,0.0006059617297654637,8.572559603083807e-05
-969897.8374277909,0.0002946266404367843,7.399434806693283e-05,0.0006059919641124629,8.57297716142648e-05
-969564.5392018707,0.0002946419744956697,7.399798061773764e-05,0.00060602236102115,8.573396963267745e-05
-969231.2409759504,0.00029465739066788,7.400163258761933e-05,0.0006060529205325541,8.573819009153099e-05
-968897.9427500302,0.000294672888975718,7.400530398144576e-05,0.0006060836426883158,8.57424329963043e-05
-968564.64452411,0.00029468846944166933,7.400899480391222e-05,0.000606114527530568,8.574669835252528e-05
-968231.3462981898,0.00029470413208852313,7.401270505989538e-05,0.0006061455751009534,8.575098616571813e-05
-967898.0480722697,0.00029471987693876226,7.401643475421427e-05,0.0006061767854413867,8.575529644147865e-05
-967564.7498463495,0.00029473570401524586,7.402018389165631e-05,0.000606208158595507,8.575962918540043e-05
-967231.4516204292,0.0002947516133412771,7.40239524771424e-05,0.0006062396946041634,8.576398440312802e-05
-966898.153394509,0.0002947676049394248,7.402774051574566e-05,0.0006062713935113016,8.576836210029816e-05
-966564.8551685888,0.00029478367883346433,7.403154801226611e-05,0.0006063032553620629,8.577276228264474e-05
-966231.5569426686,0.0002947998350461811,7.403537497169554e-05,0.0006063352801983213,8.577718495585584e-05
-965898.2587167484,0.00029481607360203066,7.403922139908881e-05,0.0006063674680611595,8.578163012568976e-05
-965564.9604908281,0.0002948323945228538,7.404308729948979e-05,0.0006063998189971229,8.578609779795067e-05
-965231.662264908,0.00029484879783392415,7.404697267788614e-05,0.0006064323330505691,8.579058797844607e-05
-964898.3640389878,0.0002948652835585909,7.405087753939008e-05,0.000606465010264943,8.579510067300837e-05
-964565.0658130676,0.00029488185172145577,7.40548018891095e-05,0.0006064978506843567,8.579963588752426e-05
-964231.7675871474,0.0002948985023453845,7.405874573220349e-05,0.0006065308543550407,8.580419362787486e-05
-963898.4693612272,0.00029491523545524875,7.406270907374442e-05,0.0006065640213205935,8.580877390001893e-05
-963565.1711353069,0.00029493205107543704,7.40666919190252e-05,0.0006065973516271723,8.58133767099085e-05
-963231.8729093868,0.00029494894923048963,7.407069427316588e-05,0.0006066308453198063,8.581800206354669e-05
-962898.5746834666,0.0002949659299445204,7.407471614145779e-05,0.0006066645024440778,8.58226499669449e-05
-962565.2764575464,0.00029498299324267897,7.407875752914255e-05,0.0006066983230462036,8.582732042616981e-05
-962231.9782316262,0.0002950001391492997,7.408281844144543e-05,0.0006067323071718401,8.583201344729231e-05
