Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,01030000;-11,61417000;-46,52621000
0,01032500;-11,61417000;-46,55696000
0,01035000;-11,61417000;-46,57235000
0,01037500;-11,61417000;-46,61849000
0,01040000;-11,61417000;-46,61849000
0,01042500;-11,61417000;-46,63387000
0,01045000;-11,61417000;-46,68000000
0,01047500;-11,61417000;-46,71076000
0,01050000;-11,61417000;-46,75689000
0,01052500;-11,61417000;-46,80302000
0,01055000;-11,61417000;-46,83379000
0,01057500;-11,61417000;-46,86455000
0,01060000;-11,61417000;-46,89531000
0,01062500;-11,61417000;-46,92606000
0,01065000;-11,61417000;-46,95682000
0,01067500;-11,61417000;-46,98758000
0,01070000;-11,61417000;-47,00295000
0,01072500;-11,61417000;-47,01833000
0,01075000;-11,61417000;-47,04909000
0,01077500;-11,61417000;-47,06448000
0,01080000;-11,61417000;-47,07986000
0,01082500;-11,61417000;-47,11061000
0,01085000;-11,61417000;-47,12599000
0,01087500;-11,61417000;-47,17213000
0,01090000;-11,61417000;-47,17213000
0,01092500;-11,61417000;-47,20288000
0,01095000;-11,61417000;-47,23364000
0,01097500;-11,61417000;-47,26439000
0,01100000;-11,61417000;-47,29515000
0,01102500;-11,61417000;-47,32592000
0,01105000;-11,61417000;-47,35668000
0,01107500;-11,61417000;-47,38743000
0,01110000;-11,61417000;-47,41819000
0,01112500;-11,61417000;-47,43357000
0,01115000;-11,61417000;-47,44894000
0,01117500;-11,61417000;-47,49508000
0,01120000;-11,61417000;-47,51046000
0,01122500;-11,61417000;-47,54121000
0,01125000;-11,61417000;-47,58736000
0,01127500;-11,61417000;-47,60274000
0,01130000;-11,61417000;-47,64887000
0,01132500;-11,61417000;-47,66425000
0,01135000;-11,61417000;-47,71038000
0,01137500;-11,61417000;-47,74114000
0,01140000;-11,61417000;-47,78728000
0,01142500;-11,61417000;-47,83342000
0,01145000;-11,61417000;-47,86418000
0,01147500;-11,61417000;-47,86418000
0,01150000;-11,61417000;-47,89494000
0,01152500;-11,61417000;-47,91032000
0,01155000;-11,61417000;-47,95645000
0,01157500;-11,61417000;-47,97183000
0,01160000;-11,61417000;-48,01796000
0,01162500;-11,61417000;-48,04873000
0,01165000;-11,61417000;-48,04873000
0,01167500;-11,61417000;-48,09486000
0,01170000;-11,61417000;-48,14100000
0,01172500;-11,61417000;-48,17176000
0,01175000;-11,61417000;-48,21789000
0,01177500;-11,61417000;-48,26402000
0,01180000;-11,61417000;-48,27942000
0,01182500;-11,61417000;-48,32555000
0,01185000;-11,61417000;-48,35631000
0,01187500;-11,61417000;-48,38706000
0,01190000;-11,61417000;-48,40244000
0,01192500;-11,61417000;-48,44857000
0,01195000;-11,61417000;-48,44857000
0,01197500;-11,61417000;-48,46395000
0,01200000;-11,61417000;-48,51009000
0,01202500;-11,61417000;-48,54086000
0,01205000;-11,61417000;-48,58699000
