# f,H_in,H_out,G_ideal,G_theo,phi_ideal,phi_theo
1.056336728260152768e+03,5.059300268975697179e-01,2.083178442585657993e-03,-5.770793877080717493e+01,-4.770727965637946966e+01,8.992540223488678919e+01,1.820873797791690762e+01
1.056823350003258838e+03,5.059300279794518573e-01,2.083274505059929185e-03,-5.770393484987578603e+01,-4.770687914814534025e+01,8.992536783972553849e+01,1.821655865254767193e+01
1.057310195917988722e+03,5.059300290623324203e-01,2.083370651780053293e-03,-5.769993092569830395e+01,-4.770647830716293214e+01,8.992533342867764645e+01,1.822438220796524178e+01
1.057797266107613495e+03,5.059300301462126281e-01,2.083466882816370751e-03,-5.769592699827172311e+01,-4.770607713318594278e+01,8.992529900173570923e+01,1.823220864463079849e+01
1.058284560675447892e+03,5.059300312310927028e-01,2.083563198239268398e-03,-5.769192306759304500e+01,-4.770567562596794176e+01,8.992526455889233716e+01,1.824003796300473113e+01
1.058772079724856439e+03,5.059300323169741986e-01,2.083659598119191620e-03,-5.768791913365927826e+01,-4.770527378526237783e+01,8.992523010014015483e+01,1.824787016354677860e+01
1.059259823359252550e+03,5.059300334038577818e-01,2.083756082526637410e-03,-5.768391519646741017e+01,-4.770487161082255056e+01,8.992519562547178680e+01,1.825570524671594796e+01
1.059747791682093293e+03,5.059300344917445624e-01,2.083852651532153068e-03,-5.767991125601444224e+01,-4.770446910240163163e+01,8.992516113487981499e+01,1.826354321297045757e+01
1.060235984796886669e+03,5.059300355806350957e-01,2.083949305206341841e-03,-5.767590731229737600e+01,-4.770406625975267900e+01,8.992512662835686399e+01,1.827138406276790761e+01
1.060724402807188426e+03,5.059300366705307139e-01,2.084046043619859449e-03,-5.767190336531317030e+01,-4.770366308262857302e+01,8.992509210589554414e+01,1.827922779656511665e+01
1.061213045816599106e+03,5.059300377614319721e-01,2.084142866843412788e-03,-5.766789941505884798e+01,-4.770325957078213008e+01,8.992505756748843737e+01,1.828707441481818208e+01
1.061701913928770637e+03,5.059300388533402026e-01,2.084239774947765564e-03,-5.766389546153136791e+01,-4.770285572396596052e+01,8.992502301312815405e+01,1.829492391798249429e+01
1.062191007247399057e+03,5.059300399462559605e-01,2.084336768003730057e-03,-5.765989150472772451e+01,-4.770245154193260362e+01,8.992498844280727610e+01,1.830277630651269760e+01
1.062680325876231109e+03,5.059300410401803560e-01,2.084433846082175794e-03,-5.765588754464489085e+01,-4.770204702443442102e+01,8.992495385651839968e+01,1.831063158086273646e+01
1.063169869919061284e+03,5.059300421351146104e-01,2.084531009254023473e-03,-5.765188358127983292e+01,-4.770164217122366779e+01,8.992491925425409249e+01,1.831848974148583054e+01
1.063659639479728412e+03,5.059300432310589457e-01,2.084628257590245403e-03,-5.764787961462954513e+01,-4.770123698205247109e+01,8.992488463600696491e+01,1.832635078883441437e+01
1.064149634662123162e+03,5.059300443280150272e-01,2.084725591161870270e-03,-5.764387564469097924e+01,-4.770083145667281599e+01,8.992485000176957044e+01,1.833421472336026170e+01
1.064639855570183045e+03,5.059300454259834101e-01,2.084823010039977935e-03,-5.763987167146111545e+01,-4.770042559483653122e+01,8.992481535153449101e+01,1.834208154551438597e+01
1.065130302307891270e+03,5.059300465249648715e-01,2.084920514295703770e-03,-5.763586769493690554e+01,-4.770001939629536736e+01,8.992478068529432278e+01,1.834995125574706165e+01
1.065620974979282664e+03,5.059300476249608547e-01,2.085018104000233453e-03,-5.763186371511530126e+01,-4.769961286080089735e+01,8.992474600304157661e+01,1.835782385450786691e+01
1.066111873688435480e+03,5.059300487259719148e-01,2.085115779224807741e-03,-5.762785973199328993e+01,-4.769920598810457335e+01,8.992471130476887708e+01,1.836569934224557699e+01
1.066602998539479358e+03,5.059300498279989400e-01,2.085213540040720299e-03,-5.762385574556781620e+01,-4.769879877795773382e+01,8.992467659046874928e+01,1.837357771940829565e+01
1.067094349636592369e+03,5.059300509310433736e-01,2.085311386519319871e-03,-5.761985175583582475e+01,-4.769839123011156090e+01,8.992464186013376093e+01,1.838145898644338061e+01
1.067585927083996694e+03,5.059300520351054375e-01,2.085409318732005073e-03,-5.761584776279427444e+01,-4.769798334431711595e+01,8.992460711375646554e+01,1.838934314379740442e+01
1.068077730985966127e+03,5.059300531401864642e-01,2.085507336750231332e-03,-5.761184376644010285e+01,-4.769757512032533242e+01,8.992457235132940241e+01,1.839723019191626463e+01
1.068569761446822213e+03,5.059300542462874528e-01,2.085605440645506986e-03,-5.760783976677026175e+01,-4.769716655788699455e+01,8.992453757284512506e+01,1.840512013124509849e+01
1.069062018570931741e+03,5.059300553534092915e-01,2.085703630489391981e-03,-5.760383576378168868e+01,-4.769675765675278001e+01,8.992450277829620120e+01,1.841301296222827233e+01
1.069554502462713344e+03,5.059300564615528684e-01,2.085801906353502641e-03,-5.759983175747133544e+01,-4.769634841667321723e+01,8.992446796767514172e+01,1.842090868530945258e+01
1.070047213226629765e+03,5.059300575707191827e-01,2.085900268309506030e-03,-5.759582774783612535e+01,-4.769593883739871387e+01,8.992443314097447171e+01,1.842880730093151698e+01
1.070540150967195359e+03,5.059300586809090117e-01,2.085998716429125158e-03,-5.759182373487299600e+01,-4.769552891867951416e+01,8.992439829818674468e+01,1.843670880953665758e+01
1.071033315788972004e+03,5.059300597921235765e-01,2.086097250784135944e-03,-5.758781971857886361e+01,-4.769511866026576996e+01,8.992436343930449993e+01,1.844461321156628131e+01
1.071526707796567052e+03,5.059300609043636543e-01,2.086195871446365913e-03,-5.758381569895068708e+01,-4.769470806190750523e+01,8.992432856432023414e+01,1.845252050746103833e+01
1.072020327094639015e+03,5.059300620176302443e-01,2.086294578487700273e-03,-5.757981167598536132e+01,-4.769429712335457339e+01,8.992429367322650080e+01,1.846043069766086475e+01
1.072514173787894833e+03,5.059300631319242347e-01,2.086393371980075403e-03,-5.757580764967982390e+01,-4.769388584435669998e+01,8.992425876601581081e+01,1.846834378260494702e+01
1.073008247981086015e+03,5.059300642472467358e-01,2.086492251995481894e-03,-5.757180362003098395e+01,-4.769347422466352526e+01,8.992422384268063240e+01,1.847625976273168291e+01
1.073502549779017272e+03,5.059300653635983025e-01,2.086591218605964981e-03,-5.756779958703576483e+01,-4.769306226402449767e+01,8.992418890321354752e+01,1.848417863847878451e+01
1.073997079286536518e+03,5.059300664809803783e-01,2.086690271883620204e-03,-5.756379555069108278e+01,-4.769264996218899455e+01,8.992415394760701020e+01,1.849210041028312901e+01
1.074491836608543963e+03,5.059300675993937402e-01,2.086789411900603387e-03,-5.755979151099384694e+01,-4.769223731890620144e+01,8.992411897585357394e+01,1.850002507858089729e+01
1.074986821849987564e+03,5.059300687188391654e-01,2.086888638729118492e-03,-5.755578746794094513e+01,-4.769182433392521858e+01,8.992408398794570701e+01,1.850795264380753125e+01
1.075482035115860754e+03,5.059300698393177642e-01,2.086987952441425858e-03,-5.755178342152931492e+01,-4.769141100699498281e+01,8.992404898387587764e+01,1.851588310639765211e+01
1.075977476511208351e+03,5.059300709608305358e-01,2.087087353109840036e-03,-5.754777937175583702e+01,-4.769099733786431727e+01,8.992401396363663935e+01,1.852381646678518834e+01
