# frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg, gain
2.333819224503988517e+04,5.129876806885983465e-01,1.884377279930235169e-02,-8.791900433468194365e+01,-8.639569863325650090e+01,1.523305701425451186e+00,8.727898759989386690e+01,-2.869878152901573642e+01
2.344524817276942485e+04,5.187289771931667959e-01,1.897446754611518960e-02,-8.903685454789665243e+01,-8.765084036022986425e+01,1.386014187666802178e+00,7.941276329856100347e+01,-2.873541822901385601e+01
2.355230410049896454e+04,5.102213961257614505e-01,2.053503322082662896e-02,-9.016420141003037259e+01,-8.879528020332999461e+01,1.368921206700388638e+00,7.843340762988805182e+01,-2.790526514023065374e+01
2.365936002822850787e+04,4.973283789960411538e-01,2.163501855158425635e-02,-9.132634621115943219e+01,-8.995031681997888029e+01,1.376029391180564554e+00,7.884067660060253502e+01,-2.722971940210672770e+01
2.376641595595804756e+04,4.948045887898326334e-01,2.235060367811564017e-02,-9.251438347515606608e+01,-9.105731698481993419e+01,1.457066490336159648e+00,8.348376036620129526e+01,-2.690288921810184419e+01
2.387347188368758725e+04,5.067618666160190743e-01,2.315481920159529611e-02,-9.369760385711981598e+01,-9.219001255614438151e+01,1.507591300975463566e+00,8.637861877653108422e+01,-2.680325065793098460e+01
2.398052781141713058e+04,5.177680935268210716e-01,2.310561764528736711e-02,-9.485834733284622189e+01,-9.331755153746067322e+01,1.540795795385574207e+00,8.828109616709616603e+01,-2.700835404094780756e+01
2.408758373914667027e+04,5.146003961054926856e-01,2.111404566101523356e-02,-9.601780454255289499e+01,-9.450110688129228720e+01,1.516697661260641761e+00,8.690037478759734313e+01,-2.773797319490342517e+01
2.419463966687620996e+04,5.013334190287794812e-01,1.977132581661396674e-02,-9.720486558334323490e+01,-9.573802005790136604e+01,1.466845525441900389e+00,8.404405780547051563e+01,-2.808181725518460681e+01
2.430169559460575329e+04,4.950239799126958107e-01,1.884759342888518707e-02,-9.842558590012892239e+01,-9.699798326446868657e+01,1.427602635660260022e+00,8.179560584508544707e+01,-2.838740665366951887e+01
2.440875152233529298e+04,5.031371363291406995e-01,2.113250267973406857e-02,-9.965183119746613727e+01,-9.830857735836271161e+01,1.343253839103464076e+00,7.696277579537343172e+01,-2.753470881746294197e+01
2.451580745006483266e+04,5.154352779679574059e-01,2.416709558523109577e-02,-1.008538545686051435e+02,-9.948182346557740630e+01,1.372031103027768761e+00,7.861159156417016902e+01,-2.657899359760760660e+01
2.462286337779437235e+04,5.159228839648989373e-01,2.450404809228033665e-02,-1.020485515155861691e+02,-1.006062599255382111e+02,1.442291590047987793e+00,8.263722093696242155e+01,-2.646693910896400581e+01
2.472991930552391568e+04,5.043453130271728924e-01,2.450918247834768179e-02,-1.032663474570142057e+02,-1.017416308636102542e+02,1.524716593403971698e+00,8.735982575561195063e+01,-2.626798327841512304e+01
