Zeit;Kanal A;Kanal B;(A-B)/1000
(s);(V);(V);(mA)

0,29266901;5,81908200;0,60962100;5,20946100
0,29333569;5,81908200;0,62010950;5,19897200
0,29400236;5,71327500;0,62010950;5,09316500
0,29466903;5,71327500;0,60962100;5,10365400
0,29533570;5,81908200;0,60962100;5,20946100
0,29600237;5,81908200;0,60962100;5,20946100
0,29666905;5,71327500;0,62010950;5,09316500
0,29733572;5,71327500;0,60962100;5,10365400
0,29800239;5,81908200;0,62010950;5,19897200
0,29866906;5,71327500;0,60962100;5,10365400
0,29933573;5,71327500;0,62010950;5,09316500
0,30000241;5,81908200;0,60962100;5,20946100
0,30066908;5,81908200;0,60962100;5,20946100
0,30133575;5,71327500;0,62010950;5,09316500
0,30200242;5,81908200;0,60962100;5,20946100
0,30266909;5,81908200;0,62010950;5,19897200
0,30333577;5,71327500;0,60962100;5,10365400
0,30400244;5,71327500;0,60962100;5,10365400
0,30466911;5,81908200;0,62010950;5,19897200
0,30533578;5,71327500;0,62010950;5,09316500
0,30600245;5,71327500;0,62010950;5,09316500
0,30666913;5,81908200;0,62010950;5,19897200
0,30733580;5,71327500;0,62010950;5,09316500
0,30800247;5,81908200;0,59910180;5,21998000
0,30866914;5,81908200;0,62010950;5,19897200
0,30933581;5,81908200;0,62010950;5,19897200
0,31000249;5,71327500;0,62010950;5,09316500
0,31066916;5,81908200;0,60962100;5,20946100
0,31133583;5,81908200;0,62010950;5,19897200
0,31200250;5,71327500;0,60962100;5,10365400
0,31266917;5,81908200;0,62010950;5,19897200
0,31333585;5,71327500;0,62010950;5,09316500
0,31400252;5,81908200;0,60962100;5,20946100
0,31466919;5,81908200;0,62010950;5,19897200
0,31533586;5,71327500;0,62010950;5,09316500
0,31600253;5,71327500;0,62010950;5,09316500
0,31666921;5,81908200;0,60962100;5,20946100
0,31733588;5,71327500;0,62010950;5,09316500
0,31800255;5,81908200;0,62010950;5,19897200
0,31866922;5,71327500;0,62010950;5,09316500
0,31933590;5,71327500;0,62010950;5,09316500
0,32000257;5,71327500;0,60962100;5,10365400
0,32066924;5,71327500;0,62010950;5,09316500
0,32133591;5,81908200;0,62010950;5,19897200
0,32200258;5,81908200;0,60962100;5,20946100
0,32266926;5,81908200;0,62010950;5,19897200
0,32333593;5,71327500;0,62010950;5,09316500
0,32400260;5,71327500;0,62010950;5,09316500
0,32466927;5,81908200;0,62010950;5,19897200
0,32533594;5,71327500;0,62010950;5,09316500
0,32600262;5,71327500;0,62010950;5,09316500
0,32666929;5,71327500;0,62010950;5,09316500
0,32733596;5,81908200;0,60962100;5,20946100
0,32800263;5,81908200;0,62010950;5,19897200
0,32866930;5,71327500;0,62010950;5,09316500
0,32933598;5,71327500;0,62010950;5,09316500
0,33000265;5,71327500;0,62010950;5,09316500
0,33066932;5,81908200;0,62010950;5,19897200
0,33133599;5,81908200;0,62010950;5,19897200
0,33200266;5,71327500;0,62010950;5,09316500
0,33266934;5,81908200;0,62010950;5,19897200
0,33333601;5,71327500;0,62010950;5,09316500
0,33400268;5,71327500;0,62010950;5,09316500
0,33466935;5,81908200;0,62010950;5,19897200
0,33533602;5,81908200;0,62010950;5,19897200
0,33600270;5,81908200;0,62010950;5,19897200
0,33666937;5,71327500;0,62010950;5,09316500
0,33733604;5,71327500;0,62010950;5,09316500
0,33800271;5,71327500;0,60962100;5,10365400
0,33866938;5,81908200;0,62010950;5,19897200
0,33933606;5,81908200;0,60962100;5,20946100
0,34000273;5,81908200;0,60962100;5,20946100
0,34066940;5,71327500;0,60962100;5,10365400
0,34133607;5,71327500;0,62010950;5,09316500
0,34200274;5,71327500;0,60962100;5,10365400
0,34266942;5,71327500;0,62010950;5,09316500
0,34333609;5,81908200;0,62010950;5,19897200
0,34400276;5,81908200;0,60962100;5,20946100
0,34466943;5,81908200;0,60962100;5,20946100
0,34533610;5,81908200;0,60962100;5,20946100
0,34600278;5,71327500;0,62010950;5,09316500
0,34666945;5,81908200;0,62010950;5,19897200
0,34733612;5,71327500;0,62010950;5,09316500
0,34800279;5,81908200;0,62010950;5,19897200
0,34866946;5,71327500;0,62010950;5,09316500
0,34933614;5,71327500;0,62010950;5,09316500
0,35000281;5,81908200;0,62010950;5,19897200
0,35066948;5,71327500;0,62010950;5,09316500
0,35133615;5,81908200;0,60962100;5,20946100
0,35200282;5,81908200;0,62010950;5,19897200
0,35266950;5,81908200;0,62010950;5,19897200
0,35333617;5,71327500;0,62010950;5,09316500
0,35400284;5,71327500;0,60962100;5,10365400
0,35466951;5,81908200;0,62010950;5,19897200
0,35533618;5,81908200;0,62010950;5,19897200
0,35600286;5,81908200;0,62010950;5,19897200
0,35666953;5,81908200;0,62010950;5,19897200
0,35733620;5,81908200;0,62010950;5,19897200
0,35800287;5,71327500;0,62010950;5,09316500
0,35866954;5,81908200;0,62010950;5,19897200
0,35933622;5,81908200;0,62010950;5,19897200
0,36000289;5,81908200;0,60962100;5,20946100
0,36066956;5,71327500;0,62010950;5,09316500
0,36133623;5,81908200;0,62010950;5,19897200
0,36200290;5,71327500;0,62010950;5,09316500
0,36266958;5,71327500;0,62010950;5,09316500
0,36333625;5,81908200;0,62010950;5,19897200
0,36400292;5,71327500;0,62010950;5,09316500
0,36466959;5,81908200;0,63062870;5,18845400
0,36533626;5,81908200;0,60962100;5,20946100
0,36600294;5,71327500;0,60962100;5,10365400
0,36666961;5,81908200;0,60962100;5,20946100
0,36733628;5,81908200;0,60962100;5,20946100
0,36800295;5,71327500;0,62010950;5,09316500
0,36866962;5,71327500;0,62010950;5,09316500
0,36933630;5,71327500;0,62010950;5,09316500
0,37000297;5,71327500;0,62010950;5,09316500
0,37066964;5,81908200;0,62010950;5,19897200
0,37133631;5,71327500;0,62010950;5,09316500
0,37200298;5,81908200;0,62010950;5,19897200
0,37266966;5,81908200;0,62010950;5,19897200
0,37333633;5,81908200;0,62010950;5,19897200
0,37400300;5,71327500;0,62010950;5,09316500
0,37466967;5,81908200;0,62010950;5,19897200
0,37533634;5,71327500;0,62010950;5,09316500
0,37600302;5,81908200;0,62010950;5,19897200
0,37666969;5,81908200;0,62010950;5,19897200
0,37733636;5,71327500;0,62010950;5,09316500
0,37800303;5,81908200;0,62010950;5,19897200
0,37866970;5,81908200;0,62010950;5,19897200
0,37933638;5,81908200;0,62010950;5,19897200
0,38000305;5,81908200;0,62010950;5,19897200
0,38066972;5,71327500;0,62010950;5,09316500
0,38133639;5,71327500;0,62010950;5,09316500
0,38200306;5,71327500;0,62010950;5,09316500
