# frequency,input_amplitude,output_amplitude
1.635000000000000000e+03,4.871555952601735323e-02,9.787242050431016818e-03
1.640000000000000000e+03,4.767635560528356298e-02,9.621424898522842883e-03
1.645000000000000000e+03,4.953908202780988451e-02,9.841280880530467109e-03
1.650000000000000000e+03,5.195911928386132139e-02,1.013986924773437569e-02
1.655000000000000000e+03,5.220205746975499494e-02,1.014342647422356893e-02
1.660000000000000000e+03,5.003220791725733474e-02,9.818074918758920924e-03
1.665000000000000000e+03,4.775698021533799492e-02,9.482972283113882267e-03
1.670000000000000000e+03,4.792337706671258996e-02,9.478285097643849091e-03
1.675000000000000000e+03,5.032413313090649404e-02,9.777277031842251942e-03
1.680000000000000000e+03,5.240629552828830751e-02,1.003655148541995716e-02
1.685000000000000000e+03,5.221857094157039691e-02,9.981580231415826052e-03
1.690000000000000000e+03,4.994919103630428986e-02,9.638505974088978218e-03
1.695000000000000000e+03,4.764841461673203354e-02,9.295576594092183273e-03
1.700000000000000000e+03,4.751508012503735667e-02,9.251278024259630695e-03
1.705000000000000000e+03,4.965910958505669048e-02,9.520700462448641876e-03
1.710000000000000000e+03,5.209985320988704677e-02,9.835359050947773893e-03
1.715000000000000000e+03,5.287531550616237502e-02,9.917255943318258396e-03
1.720000000000000000e+03,5.144639020270477814e-02,9.686959608356649973e-03
1.725000000000000000e+03,4.885449245308027405e-02,9.295403976497461709e-03
1.730000000000000000e+03,4.705631697027891358e-02,9.019043780938615015e-03
1.735000000000000000e+03,4.748402086438691105e-02,9.053729843937890001e-03
1.740000000000000000e+03,4.976717629106373886e-02,9.349826272247913767e-03
1.745000000000000000e+03,5.221255096311890054e-02,9.672815754455943438e-03
1.750000000000000000e+03,5.327212132983608073e-02,9.798772742005907102e-03
1.755000000000000000e+03,5.237472908737113297e-02,9.641926422955447024e-03
1.760000000000000000e+03,5.003438502759794543e-02,9.278345489086490400e-03
1.765000000000000000e+03,4.757500460456055846e-02,8.901665607678006450e-03
1.770000000000000000e+03,4.647600508285653492e-02,8.721480657678366832e-03
1.775000000000000000e+03,4.741246139490640221e-02,8.831208627928922514e-03
1.780000000000000000e+03,4.977696522617463398e-02,9.147445671833471376e-03
1.785000000000000000e+03,5.225849218287040993e-02,9.484275864760954161e-03
1.790000000000000000e+03,5.370876100074622322e-02,9.672047161140048810e-03
1.795000000000000000e+03,5.356880205259999944e-02,9.625195385880462584e-03
1.800000000000000000e+03,5.192532277157890785e-02,9.356234557012895608e-03
1.805000000000000000e+03,4.941387670118370379e-02,8.961478422382974235e-03
1.810000000000000000e+03,4.702532966828014416e-02,8.588378713283674123e-03
1.815000000000000000e+03,4.576126970796310506e-02,8.381736472115501949e-03
1.820000000000000000e+03,4.616096899781363394e-02,8.417794834676695093e-03
1.825000000000000000e+03,4.801489232097443105e-02,8.667473130857698133e-03
1.830000000000000000e+03,5.056413205295032937e-02,9.022552498856452330e-03
1.835000000000000000e+03,5.295093876361260665e-02,9.356399152469033545e-03
1.840000000000000000e+03,5.452731684056575517e-02,9.569896961588931356e-03
1.845000000000000000e+03,5.495064586219634145e-02,9.609004135020462675e-03
1.850000000000000000e+03,5.416903125617304054e-02,9.464821685204497306e-03
1.855000000000000000e+03,5.237352799206781984e-02,9.166906259561439022e-03
1.860000000000000000e+03,4.994450618912864986e-02,8.774481234354208556e-03
1.865000000000000000e+03,4.739161428966066902e-02,8.366026870307586780e-03
1.870000000000000000e+03,4.527141640212251072e-02,8.025546721298923089e-03
1.875000000000000000e+03,4.406609558654119019e-02,7.824156550455955636e-03
1.880000000000000000e+03,4.404215718669200752e-02,7.800500596117335324e-03
1.885000000000000000e+03,4.516810574851052446e-02,7.950195357587298492e-03
1.890000000000000000e+03,4.716100706099535939e-02,8.232367476450208263e-03
1.895000000000000000e+03,4.962397837052269500e-02,8.588362680267027163e-03
1.900000000000000000e+03,5.217399762070627084e-02,8.959994553925201485e-03
1.905000000000000000e+03,5.450837403335345027e-02,9.300007401568406024e-03
1.910000000000000000e+03,5.641995286660919651e-02,9.575241072447350163e-03
1.915000000000000000e+03,5.778720283759183896e-02,9.765743985672542191e-03
1.920000000000000000e+03,5.855663752263210592e-02,9.862371237542933225e-03
1.925000000000000000e+03,5.872523959007430738e-02,9.864151867697045981e-03
