time,input_v,output_v
5.460000000000000443e-04,2.730000000000000426e+00,1.186570616881390877e-03
5.479999999999999845e-04,2.739999999999999769e+00,1.208183896055287304e-03
5.500000000000000331e-04,2.750000000000000000e+00,1.230090848982845486e-03
5.519999999999999733e-04,2.759999999999999787e+00,1.252294028442366451e-03
5.540000000000000219e-04,2.770000000000000462e+00,1.274795994973019347e-03
5.559999999999999621e-04,2.779999999999999805e+00,1.297599316813528294e-03
5.580000000000000107e-04,2.790000000000000036e+00,1.320706569840854674e-03
5.599999999999999509e-04,2.799999999999999822e+00,1.344120337508876613e-03
5.619999999999999996e-04,2.809999999999999609e+00,1.367843210787073223e-03
5.640000000000000482e-04,2.820000000000000284e+00,1.391877788099212757e-03
5.659999999999999884e-04,2.829999999999999627e+00,1.416226675262053118e-03
5.680000000000000370e-04,2.840000000000000302e+00,1.440892485424054075e-03
5.699999999999999772e-04,2.849999999999999645e+00,1.465877839004107487e-03
5.720000000000000258e-04,2.860000000000000320e+00,1.491185363630288764e-03
5.739999999999999660e-04,2.869999999999999662e+00,1.516817694078631540e-03
5.760000000000000146e-04,2.879999999999999893e+00,1.542777472211931617e-03
5.779999999999999548e-04,2.889999999999999680e+00,1.569067346918580396e-03
5.800000000000000034e-04,2.899999999999999911e+00,1.595689974051433873e-03
5.820000000000000520e-04,2.910000000000000142e+00,1.622648016366719367e-03
5.839999999999999922e-04,2.919999999999999929e+00,1.649944143462982789e-03
5.860000000000000408e-04,2.930000000000000604e+00,1.677581031720081243e-03
5.879999999999999810e-04,2.939999999999999947e+00,1.705561364238221802e-03
5.900000000000000296e-04,2.949999999999999734e+00,1.733887830777051681e-03
5.919999999999999698e-04,2.959999999999999964e+00,1.762563127694802192e-03
5.940000000000000184e-04,2.969999999999999751e+00,1.791589957887489062e-03
5.959999999999999586e-04,2.979999999999999982e+00,1.820971030728172398e-03
5.980000000000000072e-04,2.989999999999999769e+00,1.850709062006279529e-03
5.999999999999999474e-04,3.000000000000000000e+00,1.880806773866993114e-03
6.019999999999999961e-04,3.009999999999999787e+00,1.911266894750708210e-03
6.040000000000000447e-04,3.020000000000000018e+00,1.942092159332559813e-03
6.059999999999999849e-04,3.029999999999999805e+00,1.973285308462024989e-03
6.080000000000000335e-04,3.040000000000000036e+00,2.004849089102601553e-03
