# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
2.180000000000000426e+01,4.608250313102328286e-03,6.873358242796700915e-04
2.190000000000000213e+01,1.570796327117880237e-05,2.332433097598697703e-06
2.200000000000000355e+01,4.566165016649915455e-03,6.750031279978735595e-04
2.210000000000000142e+01,1.570796327117637308e-05,2.311784343136368172e-06
2.220000000000000284e+01,4.524841437577145457e-03,6.629982568684525445e-04
2.230000000000000426e+01,1.570796327117665429e-05,2.291494040152375276e-06
2.240000000000000213e+01,4.484259081246005571e-03,6.513097330180471749e-04
2.250000000000000355e+01,1.570796327117855503e-05,2.271553037426765891e-06
2.260000000000000142e+01,4.444398181716722844e-03,6.399265749039944988e-04
2.270000000000000284e+01,1.570796327117752165e-05,2.251952489089519227e-06
2.280000000000000426e+01,4.405239669646519689e-03,6.288382718622171448e-04
2.290000000000000213e+01,1.570796327118040495e-05,2.232683842143897629e-06
2.300000000000000355e+01,4.366765141870528229e-03,6.180347601602030659e-04
2.310000000000000142e+01,1.570796327117857875e-05,2.213738824583008851e-06
2.320000000000000284e+01,4.328956832562925842e-03,6.075064004545262632e-04
2.330000000000000426e+01,1.570796327117860585e-05,2.195109434080934506e-06
2.340000000000000213e+01,4.291797585883330539e-03,5.972439565598175893e-04
2.350000000000000355e+01,1.570796327117859230e-05,2.176787927211677342e-06
2.360000000000000142e+01,4.255270830019965318e-03,5.872385754429678166e-04
2.370000000000000284e+01,1.570796327118078442e-05,2.158766809179817649e-06
2.380000000000000426e+01,4.219360552547103682e-03,5.774817683626510883e-04
2.390000000000000213e+01,1.570796327117963585e-05,2.141038824027127642e-06
2.400000000000000355e+01,4.184051277019791917e-03,5.679653930800505251e-04
2.410000000000000142e+01,1.570796327117833480e-05,2.123596945296940654e-06
2.420000000000000284e+01,4.149328040734012388e-03,5.586816370720153668e-04
2.430000000000000426e+01,1.570796327117869056e-05,2.106434367124585109e-06
2.440000000000000213e+01,4.115176373585020461e-03,5.496230016827718208e-04
